id,name,type,image
0,과몰입 방지 칼럼니스트,HUMAN,stop1.png;stop2.png;stop3.png
1,뇌활성화 조립가,HUMAN,brain1.png;brain2.png;brain3.png;brain4.png;brain5.png;brain6.png;brain7.png;brain8.png
2,다중우주 지도 기록자,COSMIC,multi1.png;multi2.png;multi3.png
3,디지털 사후세계 장의사,DIGITAL,afterlife1.png;afterlife2.png;afterlife3.png;afterlife4.png;afterlife5.png;afterlife6.png;afterlife7.png
4,리얼리티 쇼 예측 점성술사,HUMAN,show1.png;show2.png;show4.png;show5.png
5,마이크로 주택 건축가,HUMAN,micro1.png;micro2.png;micro3.png;micro4.png;micro5.png
6,메타휴먼 메이크업 아티스트,DIGITAL,makeup1.png;makeup2.png;makeup3.png;makeup4.png
7,미래음악 평론가,DIGITAL,critic1.png;critic2.png;critic3.png;critic4.png;critic5.png;critic6.png
8,베테랑 베타 테스터,DIGITAL,test1.png;test2.png;test3.png;test4.png;test5.png;test6.png;test7.png;test8.png;test9.png;test10.png;test11.png;test12.png
9,소셜미디어 디톡스 전문가,HUMAN,detox1.png;detox2.png;detox3.png;detox4.png
10,시공간 균열 설계자,COSMIC,crack1.png;crack2.png;crack3.png
11,심사숙고 전문가,HUMAN,worry1.png;worry2.png;worry3.png;worry4.png
12,암흑물질 청소부,COSMIC,dark1.png;dark2.png;dark3.png;dark4.png;dark5.png
13,우주 엘리베이터 안내원,COSMIC,elevator1.png;elevator2.png;elevator3.png;elevator4.png;elevator5.png;elevator6.png;elevator7.png;elevator8.png;elevator9.png
14,웹 조향사,DIGITAL,perfumer1.png;perfumer2.png;perfumer3.png;perfumer4.png
15,이모지 번역가,HUMAN,emoji1.png;emoji2.png;emoji3.png;emoji4.png;emoji5.png;emoji6.png
16,인공 장기 디자이너,DIGITAL,organ1.png;organ2.png;organ3.png;organ4.png;organ5.png;organ6.png
17,자연생물 근본주의 요리사,HUMAN,green1.png;green2.png;green3.png;green4.png;green7.png
18,종교전쟁 해결 위원,HUMAN,war1.png;war2.png;war3.png;war4.png;war5.png
19,중력 시공 컨설턴트,COSMIC,gravity1.png;gravity2.png;gravity3.png;gravity4.png;gravity5.png
20,추상전략 시뮬레이터 이용자,DIGITAL,che1.png;che2.png;che3.png;che4.png;che5.png
21,퀀텀 현실 치료사,COSMIC,quan1.png;quan2.png;quan3.png
22,크립토 생명체 사파리 가이드,DIGITAL,safari1.png;safari2.png;safari3.png;safari4.png
23,키링 지휘자,HUMAN,key1.png;key2.png;key3.png;key4.png;key5.png;key6.png;key7.png
24,태양풍 탐험가,COSMIC,sun1.png;sun2.png;sun3.png;sun4.png;sun5.png;sun6.png;sun7.png;sun8.png
25,팬덤 커뮤니케이터,HUMAN,fan1.png;fan2.png;fan3.png
26,D41 주사위 공예가,DIGITAL,dice01.png;dice02.png;dice03.png
